IDS_SCENARIO_GAISERIC "盖塞里克 (406)"
398922 "当挪威国王哈拉尔剃发时，狂战士振臂嘶吼，狼皮战士仰天嚎叫，他们的盾牌更是被敲击得发出雷鸣般的响声！"
398923 "那场蔓延挪威全境的大火整夜不熄——不是因为战争和侵袭，这些早已结束，而是因为活人在不断焚烧堆积如山的尸体。"
398924 "在第七天，哈拉尔登上了他的王座。在他身旁的就是吉达，正是这个女人挑起了国王心中的火。"
398925 "“金发”哈拉尔曾是挪威国王。"

//
// Robert (921)
//

396901 "法兰克国王"
396902 "诺曼底"
396903 "佛兰德斯"
396904 "勃艮第"
396905 "阿基坦"
396906 "加斯科尼"
396907 "北欧人"
396908 "1. 你的人口上限为 200 人，无法训练火药单位。\n\n2. 全力支持你的公爵会与你的敌人作战，用闪光来指引他们的军队。另外，你还可以在使用闪光之前，通过更改聊天设置单独指挥他们。\n\n3. 你无需获得所有公爵的支持或击败所有公爵。例如，击败两个公爵并获得其他三个公爵的支持即可获胜。\n\n4. 进贡在早期非常奏效。随着你和其他公爵变得更加富有，你需要花费更多资源来获得他们的支持。请注意，他们可接受食物、木材、黄金和石料。\n\n5. 在与公爵开战前，请在“目标”界面中查看他们的联盟信息。每次游戏通关的联盟信息都会有所不同。\n\n6. 分而治之。获得公爵的全力支持将为你提供加成，并打破他们当前结成的联盟。通过获得特定公爵的支持，你甚至可以瓦解潜在的强大联盟。\n\n7. 如果你正在与所有公爵开战，法兰克国王就会成为敌人。同样，如果你攻击国王，那么所有非全力支持你的公爵都会团结起来与你为敌。即使你打算完全通过武力取胜，你也需要谨慎挑选作战的时机和盟友。\n\n8. 在难度级别为中等和困难时，在国王发现你的计划之前，你的时间非常有限。当时间用完时，不支持你的国王和所有公爵便会与你为敌。\n\n9. 你只能在自己的领土、敌方领土或全力支持你的公爵的领土上建造城堡。"
396909 "侦察兵报告：\n\n- 纽斯特利亚的罗伯特是法兰西亚中部的一个伯爵。也就是说，他的周围都是潜在的盟友或敌人。\n\n- 法兰克国王 (蓝色) 虽然是查理曼的后裔，但他缺乏先祖那样的能力和勇气。尽管如此，他的领地以滨河而建的巴黎为中心，城防严密且军队装备精良。\n\n- 在最近一次针对巴黎的袭击过后，法兰克国王把罗伯特的土地拱手让给了北欧人。他们定居在了罗伯特以北的一个地区，现称“诺曼底”(绿色)。诺曼人只崇尚军事力量。他们主要以步兵和骑兵作战。\n\n- 佛兰德斯 (橙色) 位于罗伯特和诺曼底的北边，中间还隔着塞纳河。弗拉芒人长久以来一直在与北欧人战斗，他们并不支持国王赠与对方土地的决定。他们会支持任何与诺曼人死磕的势力。他们主要以步兵和骑兵作战，但也可以训练弗拉芒民兵。\n\n- 勃艮第 (紫色) 占据着法兰西亚东部靠近德国边境的区域。勃艮第公爵性格尚武，会为城堡建筑工提供支持。勃艮第主要以骑兵和弓兵作战。\n\n- 阿基坦 (青色) 位于罗伯特的南方，占据了卢瓦尔河和加龙河之间广阔的土地。阿基坦公爵以其虔诚闻名，最近在克吕尼主持修建本笃会修道院。他将支持同样虔诚的统治者。阿基坦主要以步兵、骑兵和弓兵作战。\n\n- 加斯科尼 (灰色) 位于阿基坦南部，是其敌对势力。虽然加斯科尼公爵不愿与阿基坦开战，但他愿意支持任何可以削弱其对手的势力。另外，由于土地贫瘠，他也会对赠与其资源的势力万分感激。加斯科尼主要以步兵作战。\n\n- 终于，北欧人 (红色) 不久前征服了布列塔尼。其他公爵接连贿赂了北欧掠夺者以求自保，但在父亲被北欧人杀害之后，罗伯特拒不进贡。随后北欧人便率领步兵和龙头战舰来袭。"
396910 "纽斯特利亚的罗伯特"
396911 "查尔斯三世国王"
396912 "诺曼底的罗洛"
396913 "佛兰德斯的阿努尔夫"
396914 "勃艮第的鲁道夫"
396915 "阿基坦的纪尧姆"
396916 "加斯科尼的加西亚"
396917 "巴黎伯爵"
396918 "奥尔良公爵"
396919 "法兰克公爵"
396920 "公爵支持"
396921 "诺曼底：<Normandy Support>"
396922 "佛兰德斯：<Flanders Support>"
396923 "勃艮第：<Burgundy Support>"
396924 "阿基坦：<Aquitaine Support>"
396925 "加斯科尼：<Gascony Support>"
396926 "+ 世界奇观不能被摧毁。"
396927 "请选择下列其中一项："
396928 "+ 获得剩余所有公爵的全力支持。"
396929 "+ 打败所有公爵并控制巴黎 (纪念碑)。"
396930 "- 改变外交政策以攻打公爵。"
396931 "- 查看目标 (F10) 以获取国王的指令。"
396932 "获得巴黎伯爵头衔："
396933 "- 击杀 <Killed P8, 1>/100 个北欧单位。"
396934 "- 在巴黎建造一座城堡 (标旗区域)。"
396935 "- 取得 <Relics Captured>/3 件圣物。"
396936 "获得奥尔良公爵头衔："
396937 "- 拥有 <Military Population>/100 个军事单位。"
396938 "- 取得 <Relics Captured>/6 件圣物。"
396939 "获得法兰克公爵头衔："
396940 "- 拥有 <Castle Count>/5 座城堡。"
396941 "- 打败北欧人。"
396942 "通过进贡资源或执行特定行动来提升公爵支持:\n诺曼底：军事人口\n佛兰德斯：杀死诺曼底的单位和北欧单位\n勃艮第：拥有城堡\n阿基坦：持有圣物\n加斯科尼：摧毁阿基坦建筑或进贡"
396943 "诺曼底：军事人口"
396944 "佛兰德斯：杀死诺曼底的单位和北欧单位"
396945 "勃艮第：拥有城堡"
396946 "阿基坦：持有圣物"
396947 "加斯科尼：摧毁阿基坦建筑或进贡"
396948 "联盟"
396949 "诺曼底和勃艮第是盟友。"
396950 "诺曼底和阿基坦是盟友。"
396951 "诺曼底和加斯科尼盟友。"
396952 "佛兰德斯和勃艮第是盟友。"
396953 "弗兰德斯和阿基坦是盟友。"
396954 "弗兰德斯和加斯科尼是盟友。"
396955 "勃艮第和阿基坦是盟友。"
396956 "勃艮第和加斯科尼是盟友。"
396957 "罗伯特，你的父亲为国王效劳一生，换来的却是维京人送上的致命一击。你的兄弟要更聪明一些：他推翻了国王，将王位据为己有。然而，自从他死后，却又是另一个弱者在掌权。"
396958 "但要替代国王并不容易。你必须选择通过贿赂和任何其他手段赢得公爵们的支持，或者彻底击败他们并把巴黎据为己有。"
396959 "改变外交政策以攻击对手或维系联盟并获取支持。"
396960 "两个公爵家族之间已经宣布婚约。"
396961 "诺曼底与勃艮第结成了同盟。攻击其中一方即视为同时向另一方宣战。可以在“目标”中查看联盟信息。"
396962 "诺曼底与阿基坦结成了同盟。攻击其中一方即视为同时向另一方宣战。可以在“目标”中查看联盟信息。"
396963 "诺曼底与加斯科尼结成了同盟。攻击其中一方即视为同时向另一方宣战。可以在目标中查看结盟信息。"
396964 "佛兰德斯与勃艮第结成了同盟。攻击其中一方即视为同时向另一方宣战。可以在“目标”中查看联盟信息。"
396965 "佛兰德斯与阿基坦结成了同盟。攻击其中一方即视为同时向另一方宣战。可以在“目标”中查看联盟信息。"
396966 "佛兰德斯与加斯科尼结成了同盟。攻击其中一方即视为同时向另一方宣战。可以在“目标”中查看联盟信息。"
396967 "勃艮第与阿基坦结成了同盟。攻击其中一方即视为同时向另一方宣战。可以在“目标”中查看联盟信息。"
396968 "勃艮第与加斯科尼结成了同盟。攻击其中一方即视为同时向另一方宣战。可以在“目标”中查看联盟信息。"
396969 "一位公爵已经承诺坚定不移地支持你的主张，并打破了他之前的所有同盟。他会与你一起对抗你的敌人。"
396970 "诺曼底支持你的主张。萨金特人出现在你的城镇中心。使用闪光来指引诺曼底的军队。"
396971 "佛兰德斯支持你的主张。贸易单位变得更便宜了。使用闪光来指引佛兰德斯的军队。"
396972 "勃艮第支持你的主张。你的农田现在可以同时生产黄金和食物了。使用闪光来指引勃艮第的军队。"
396973 "阿基坦支持你的主张。军事单位消耗的食物更少。使用闪光来指引阿基坦的军队。"
396974 "加斯科尼支持你的主张。你获得额外 10 个人口。使用闪光来指引加斯科尼的军队。"
396975 "在攻击所有公爵后，国王认为你是在叛乱。没有回头路了。你必须打败所有的公爵，向巴黎进军。"
396976 "在攻击国王后，那些不支持你的公爵将你视为威胁。没有回头路了。你必须打败所有敌对的公爵，向巴黎进军。"
396977 "由于你的效忠，国王任命你为巴黎伯爵。而这只是你雄心壮志的开始。"
396978 "城堡已强化 (已研究堡垒和开垛口)。"
396979 "由于你一直以来的效忠，国王任命你为奥尔良公爵。"
396980 "骑兵已强化 (已研究锁子甲和马镫)。"
396981 "由于你无可挑剔的效忠，国王任命你为法兰克公爵。整个法兰西比这还高的头衔只剩下最后一个，而那也很快成为你的囊中之物。"
396982 "骑兵获得额外的攻击。"
396983 "无法攻击支持你主张的公爵。"
396984 "你只能在自己的领土、敌方领土或支持你的公爵的领土上建造城堡。"
396985 "随着经验值的增长，罗伯特的战斗技巧更加精进。"
396986 "你的敌人交友明智。又一位公爵加入了战争。"
396987 "通过阿谀奉承和计谋，你把争吵不休的公爵们团结在一起，只为一个目的：推选你为国王。这是政治的胜利，但即使是现在，也有传言说你太过依赖别人才成为的国王。"
396988 "剩下的公爵中，那些还没有被你打败的已经同意支持你称王。查理曼大帝的继承人被废黜，你通过政治意愿和军事力量成功加冕为王。"
396989 "查理曼帝国以铁血手腕赢得了胜利。你的帝国也不例外。随着查理曼的继承人死亡，你所有的对手又被禁锢在你的地牢里，你的统治地位也就牢不可撼。"
396990 "国王设置了一系列新目标。"
396991 "记住，你可以向其他公爵进贡资源来赢得他们的支持。当他们全力支持你时，你就会获得独特科技等诸多好处。此外，他们还会与你的敌人战斗。"
396992 "在与敌对公爵战斗之前，先考虑与他们结盟。你甚至可以获得其中一方的支持，借此来打破结盟关系。"
396993 "诺曼底：敌人"
396994 "佛兰德斯：敌人"
396995 "勃艮第：敌人"
396996 "阿基坦：敌人"
396997 "加斯科尼：敌人"
396998 "距离发现你的计划还剩 %d。"

// Robert (921)

398931 "罗伯特怒不可遏。"
398932 "法兰克国王夺走了他的领地。"
398933 "如果他的领地被册封给另一位公爵，或者甚至并入国王自己的领地范围，罗伯特会非常生气，不过也只会嘴上抱怨几句罢了。"
398934 "不，这种情况要糟糕得多。法兰克国王在自学成才的顾问的建议下，已经将他的领地给了罗伯特的杀父仇人——北欧人。"
398935 "这并非掠夺者之间简单的讨价还价，而是对罗伯特的有意惩罚。"
398936 "罗伯特的兄弟奥多曾经被推翻查理曼曾孙王权的法兰克公爵们推选为国王。奥多去世后，查理曼的另一位后裔继承了王位。事实证明，这位国王和他的前任一样昏庸无能。"
398937 "并且一样愚蠢。"
398938 "罗伯特面前摆着两条路：要么依赖于公爵们的支持将他推选为新王，要么需要靠武力夺取王位。他该何去何从呢？"
398941 "罗伯特成功加冕，但他的高光时刻并不长久，在位仅一年之后便在对战旧王和他的北欧支持者时殒命沙场。"
398942 "尽管如此，他的夺权之举确实对法兰西产生了深远影响。"
398943 "尽管查理曼一脉又出现了三个继任者，但这个著名的王朝还是在之后的几十年间逐渐走向没落。查理曼家族的最后一个继承人死于一场狩猎事故，罗伯特的孙子随即登上王位。"
398944 "这个孙子名叫“休”，后世称之为“卡佩”。他建立的王朝便后扬名后世的卡佩王朝，统治法兰西长达 8 个世纪之久。"

//
// Otto (936)
//

397001 "洛塔林吉亚"
397002 "法兰克尼亚"
397003 "巴伐利亚"
397004 "维京人"
397005 "温德人"
397006 "马扎尔人"
397007 "西法兰克王国"
397008 "1. 你的人口上限为 200 人，且无法训练火药单位。\n\n2. 附庸国是强大的盟友，使用闪光可以指引他们的军队。在使用闪光前，你也可以通过更改聊天设置来直接指挥附庸国。\n\n3. 让附庸国持续处于战事之中。如果让附庸国拥有大规模的闲置军队，那他们就很可能会发起叛乱。\n\n4. 忠诚度会随着时间推移而降低，降低幅度取决于附庸国的军事人口规模。进贡、杀死敌方单位、摧毁敌方建筑都可以提高忠诚度。如果有附庸国已经背叛，那另外两个附庸国的忠诚度会下降得更快。\n\n5. 如果有其他附庸国叛乱，那洛塔林吉亚最有可能跟着一起叛乱。法兰克尼亚最容易发生叛乱，但给他们送贡品产生的效果也最好。巴伐利亚忠诚度最高，但如果军队规模太大，也会发生叛乱。\n\n6. 不需要摧毁叛乱的附庸国也能征服他们，只需削减他们的军队规模即可。实际上，如果能帮他们恢复元气，他们就能为战斗提供更多帮助。正因如此，当你指挥单位发动进攻时，他们只会攻击叛乱附庸国的建筑、村民和贸易车。\n\n7. 如果西法兰克王国的国王认为你已经处于弱势，他们就会与叛乱的附庸国狼狈为奸。如果你打算击败他，请在完成主要目标之前行动。\n\n8. 占领意大利可以获得大量的经济资源，但附庸国的忠诚度会降低。"
